Model,Accuracy,Precision,Recall,F1_Score,Specificity
svm,94.3550683371299,0.900439954375102,0.968114926419061,0.933051920641621,0.92673860911271
rf,99.9786446469248,0.999474697951322,1,0.999737279971976,0.999640287769784
knn,95.2235193621868,0.96647527319874,0.914155571128241,0.939587647429549,0.978297362110312
nb,93.4652619589977,0.881369426751592,0.96969166082691,0.923423423423423,0.910671462829736
lr,96.7397494305239,0.970767575322812,0.948318149964961,0.95941155618575,0.980455635491607
