Model,Accuracy,Precision,Recall,F1_Score,Specificity
svm,81.6771070615034,0.771201107649706,0.780658724597057,0.775901096987637,0.841486810551559
rf,82.3248861047836,0.791855203619909,0.766468114926419,0.778954865129529,0.862110311750599
knn,80.0754555808656,0.765565090377944,0.73458304134548,0.749754135002235,0.846043165467626
nb,73.498006833713,0.717605788204341,0.573405746320953,0.637452527023079,0.845563549160671
lr,72.0173690205011,0.687883273419328,0.569901892081289,0.623359202836064,0.823021582733813
xgboost,80.7801822323462,0.775659824046921,0.741415557112824,0.758151200286636,0.853237410071942
cnn,73.8396924829157,0.705727585509006,0.610896986685354,0.654897173443516,0.825659472422062
